TEXT_ID,FARM_ID,BEGIN_POP_TOTAL,ANIMAL_IN,DEATH_CULLING_TOTAL,BARN,RAISE_WEEK,RAISE_DAY,BEGIN_POP,FEED_INTAKE_ACTUAL,FEED_TYPE,FEED_INTAKE_STD,ESTIMATED_WEIGHT,CALCULATED_RAISING_WEEK,CALCULATED_RAISING_DAY,START_RAISING_DATE,CREATED_AT,PARENT_BARN,MIN_INDOOR_TEMPERATURE,MAX_INDOOR_TEMPERATURE,MIN_OUTDOOR_TEMPERATURE,MAX_OUTDOOR_TEMPERATURE,DISEASE_NAME_ENGLISH,AFFECTED_COUNT,AFFECTED_PERCENT,DAILY_BEGIN_POP,EXTRACTED_VACCINES,VACCINATION,BRAN_WAREHOUSE,FLIES_DETECTED,GATE_DISINFECTION_PIT,INSECT_NET,LIME_CORRIDOR,RATS_DETECTED,ROUND,FLIES_MOSQUITOES_DETECTED,SPRAYING_DISINFECTANT,SPRAYING_FLY_POISON,SPRINKLING_RAT_BAIT,WILD_ANIMALS_DETECTED,ACTUAL_FOOD_COMES,ACTUAL_PEOPLE_ENTERING,ACTUAL_SUPPLIES,ACTUAL_VEHICLES_ENTERING,PLAN_FOOD_COMES,PLAN_ON_DATE,PLAN_PEOPLE_ENTERING,PLAN_SUPPLIES,PLAN_VEHICLES_ENTERING,ALERT_TOPIC,ALERT_TYPE,REASON
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C3,26,181,566,2.12,XK120SF,3.02,96,26,180,0008-11-24,46:14.7,,18,25,14,25,Convulsion,0,0,566,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Animal Health,Pneumonia Daily,Thời tiết thay đổi
cac8a5fb53745c2f0560,8f02ff8e3ad4d38a8ac5,1141,,0,C1,19,130,717,2.62,XK120SFX,2.48,80,19,130,0027-12-24,26:42.9,,25,28,18,28,Pneumonia,37,5,717,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,lợn sức khoẻ tốt
c8d37ef545b04beb12a4,ab836409a2514b0f1240,1005,784,0,C3,5,30,767,0.13,"Baby Milk, MilacA",0.25,,,,,37:51.7,,18,29,17,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,Lợn ăn hết cám sớm
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C3,26,181,566,2.12,XK120SF,3.02,96,26,180,0008-11-24,46:14.7,,18,25,14,25,Paralysis,0,,566,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,"+ Sức khỏe đàn sốt 
+Tỉ lệ hô hấp 7%
+ Nên thực tế ăn dưới tiêu chuẩn"
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C4,26,181,479,2.66,XK120SF,3.02,90,26,180,0008-11-24,46:14.7,,18,25,14,25,Sudden death,0,0,481,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,chuồng 4 heo bị LMLM trên 80% heo giảm ăn
34d27c4bfeadf0f6a9b9,65cf0df1f7ab1ef547ba,2213,,1,C1,12,78,545,1.32,XK110F + XK120SF-KT,1.38,,12,78,0019-02-25,02:32.5,,24,30,21,33,Sudden death,0,0,545,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2, CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,lợn bị PRRS
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C1,27,185,0,2.07,XK120SF,3.02,98,27,187,0003-11-24,46:14.7,,18,25,14,25,Convulsion,0,0,676,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,Estimated Weight,FMD giai đoạn tuần tuổi vỗ béo
62c9daedab4cad17f458,8a3c7dcfb99550cb0984,1440,,1,C2,11,71,718,1.15,XK110F-T,1.21,,30,208,0023-10-24,37:20.8,,22,29,18,28,Arthritis,0,0,732,"[
  ""DT"",
  ""LMLM1""
]",DT+ LMLM1 + lm2,,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,"sức khoẻ tổng đàn ổn định, tỉ lệ hô hấp thấp, hết cám sớm."
b3ff6a5b45ac4bf712b8,b155287fe3250a7b5334,2232,,1,C3,22,152,805,2.88,xk120sfx,2.88,92,22,152,0005-12-24,22:05.7,,22,26,22,28,Diarrhea,15,1.7,850,"[
  ""DT"",
  ""LMLM"",
  ""LMLM2""
]","DT+LMLM,LMLM2",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,"lợn sức khoẻ tốt, thu nhận thức ăn tốt"
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C1,27,185,0,2.07,XK120SF,3.02,98,27,187,0003-11-24,46:14.7,,18,25,14,25,Pneumonia,0,,676,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,tổng đàn sức khoẻ tốt
